City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Mizque,BO,2022-07-16 15:29:40,-17.941,-65.3402,73.4,18,6,1.74
60,Tukrah,LY,2022-07-16 15:29:40,32.5341,20.5791,81.81,57,0,14.2
61,Kuah,MY,2022-07-16 15:29:40,6.3265,99.8432,82.38,89,20,1.14
62,Jamestown,US,2022-07-16 15:27:32,42.097,-79.2353,74.52,49,100,4.61
63,Oktyabrskiy,RU,2022-07-16 15:29:41,54.4815,53.471,73.15,74,0,5.68
64,Tuatapere,NZ,2022-07-16 15:29:41,-46.1333,167.6833,41.99,91,92,6.53
65,Gorontalo,ID,2022-07-16 15:25:02,0.5412,123.0595,74.82,93,100,3.22
66,Khatanga,RU,2022-07-16 15:29:41,71.9667,102.5,61.0,55,91,6.82
67,Manavgat,TR,2022-07-16 15:29:42,36.7867,31.4431,85.6,56,0,7.31
68,Mataura,NZ,2022-07-16 15:29:42,-46.1927,168.8643,41.49,86,37,4.12
69,Saskylakh,RU,2022-07-16 15:29:42,71.9167,114.0833,55.78,63,35,10.51
70,Palmer,US,2022-07-16 15:25:08,42.1584,-72.3287,80.51,62,100,5.75
71,Cabo San Lucas,MX,2022-07-16 15:29:43,22.8909,-109.9124,83.61,78,20,3.44
72,Luderitz,NA,2022-07-16 15:29:43,-26.6481,15.1594,73.76,35,0,5.37
73,Kampene,CD,2022-07-16 15:29:44,-3.6,26.6667,90.37,31,70,3.2
74,Lompoc,US,2022-07-16 15:29:44,34.6391,-120.4579,57.61,96,100,0.0
75,Jiuquan,CN,2022-07-16 15:29:44,39.7432,98.5174,74.12,24,77,8.55
76,Saldanha,ZA,2022-07-16 15:29:45,-33.0117,17.9442,75.25,48,35,10.04
77,Lebu,CL,2022-07-16 15:29:45,-37.6167,-73.65,46.36,79,95,10.98
78,Baykit,RU,2022-07-16 15:29:45,61.67,96.37,53.2,94,62,1.25
79,Senanga,ZM,2022-07-16 15:29:46,-16.1167,23.2667,77.86,20,1,10.51
80,Iqaluit,CA,2022-07-16 15:29:46,63.7506,-68.5145,58.73,58,100,20.71
81,Hilo,US,2022-07-16 15:29:46,19.7297,-155.09,79.29,100,100,4.61
82,Kodiak,US,2022-07-16 15:29:46,57.79,-152.4072,56.71,82,75,4.61
